,DOY,Location,plant_C_ medlyn_W1_fix,photo_medlyn_W1_fix,AR_medlyn_W1_fix,plant_C_new_W1_fix,photo_new_W1_fix,AR_new_W1_fix,plant_C_medlyn_W12_fix,photo_medlyn_W12_fix,AR_medlyn_W12_fix,plant_C_new_W12_fix,photo_new_W12_fix,AR_new_W12_fix,plant_C_ medlyn_W1_var,photo_medlyn_W1_var,AR_medlyn_W1_var,plant_C_ new_W1_var,photo_new_W1_var,AR_new_W1_var,plant_C_ medlyn_W12_var,photo_medlyn_W12_var,AR_medlyn_W12_var,plant_C_ new_W12_var,photo_new_W12_var,AR_new_W12_var
1,Aug_17,Albuquerque,-0.010127722,0.061876933,0.859346284,-0.01012276,0.061881895,0.859415197,-0.111366387,0.105120784,0.485575122,-0.111357957,0.105129214,0.485614061,-0.010127721,0.061876935,0.859346308,-0.010122759,0.061881897,0.859415214,-0.111366384,0.105120787,0.485575135,-0.111357955,0.105129216,0.485614071
2,Aug_17,London,0.041016646,0.07821549,2.102632288,0.041021828,0.078220672,2.102771584,0.020749288,0.132877847,1.185049088,0.020758091,0.132886649,1.185127596,0.041016645,0.078215489,2.102632265,0.041021825,0.078220668,2.102771497,0.020749286,0.132877845,1.185049075,0.020758085,0.132886644,1.185127547
3,Aug_18,Albuquerque,-0.009673047,0.060525728,0.862204907,-0.009663879,0.060534896,0.86233551,-0.108974252,0.102825264,0.485483942,-0.108958677,0.102840839,0.485557481,-0.009673045,0.06052573,0.862204937,-0.009663877,0.060534898,0.862335537,-0.108974249,0.102825267,0.485483958,-0.108958673,0.102840843,0.485557496
4,Aug_18,London,0.046840925,0.083698782,2.270853199,0.046848584,0.083706441,2.271061004,0.031031249,0.14219324,1.279153415,0.031044261,0.142206252,1.27927047,0.046840924,0.083698781,2.270853172,0.046848581,0.083706438,2.27106091,0.031031248,0.142193238,1.2791534,0.031044255,0.142206246,1.279270417
5,Aug_19,Albuquerque,-0.016463981,0.051586984,0.758063957,-0.016453116,0.051597849,0.758223618,-0.117388199,0.087639512,0.427452034,-0.117369741,0.087657971,0.427542063,-0.01646398,0.051586986,0.758063978,-0.016453115,0.051597851,0.758223642,-0.117388197,0.087639515,0.427452046,-0.117369738,0.087657973,0.427542076
6,Aug_19,London,0.046938085,0.083161674,2.295787827,0.046943754,0.083167343,2.295944334,0.031905104,0.141280763,1.291702045,0.031914735,0.141290395,1.291790103,0.046938084,0.083161673,2.295787803,0.046943751,0.08316734,2.29594425,0.031905102,0.141280762,1.291702032,0.03191473,0.141290389,1.291790055
7,May_17,Albuquerque,0.039720655,0.067383413,2.435889199,0.039743954,0.067406712,2.436731465,0.031308855,0.11447557,1.376458956,0.031348437,0.114515152,1.376934899,0.039720653,0.067383411,2.43588913,0.03974395,0.067406708,2.436731305,0.031308851,0.114475566,1.376458917,0.03134843,0.114515145,1.376934809
8,May_17,London,0.053197089,0.07288761,3.701659822,0.053291151,0.072981672,3.706436846,0.064803779,0.123826479,2.097946718,0.064963578,0.123986278,2.100654136,0.053197084,0.072887605,3.701659555,0.053291141,0.072981662,3.706436337,0.06480377,0.12382647,2.097946567,0.064963561,0.123986261,2.100653848
9,May_18,Albuquerque,0.045080183,0.076695334,2.425904424,0.0451206,0.076735751,2.42718282,0.035580724,0.130295301,1.375662598,0.035649387,0.130363964,1.37638754,0.04508018,0.076695331,2.425904336,0.045120593,0.076735744,2.427182614,0.035580719,0.130295297,1.375662548,0.035649376,0.130363953,1.376387424
10,May_18,London,0.056655818,0.074489093,4.176972047,0.056741843,0.074575119,4.181795918,0.072386403,0.126547188,2.336509489,0.072532549,0.126693334,2.33920786,0.056655813,0.074489088,4.176971772,0.056741834,0.074575109,4.181795383,0.072386395,0.12654718,2.336509335,0.072532533,0.126693318,2.339207561
11,May_19,Albuquerque,0.039470269,0.062822858,2.690188156,0.039525861,0.06287845,2.692568693,0.036730534,0.106727786,1.524742503,0.036824977,0.106822229,1.526091742,0.039470266,0.062822855,2.690188012,0.039525854,0.062878443,2.692568405,0.036730528,0.106727781,1.524742421,0.036824965,0.106822218,1.526091579
12,May_19,London,0.052564592,0.079806368,2.929558254,0.052570223,0.079811999,2.929764951,0.052360671,0.135580539,1.62918473,0.052370237,0.135590105,1.629299678,0.052564592,0.079806367,2.929558223,0.05257022,0.079811996,2.929764842,0.052360669,0.135580538,1.629184712,0.052370231,0.1355901,1.629299617
13,Oct_17,Albuquerque,0.023374262,0.057054904,1.693996918,0.023375095,0.057055737,1.694021652,-0.003787235,0.09692879,0.9623969,-0.00378582,0.096930206,0.962410952,0.023374262,0.057054904,1.693996914,0.023375093,0.057055736,1.694021604,-0.003787235,0.09692879,0.962396898,-0.003785822,0.096930203,0.962410925
14,Oct_17,London,0.030385665,0.043270004,3.358341117,0.030497631,0.043381969,3.367031182,0.035451968,0.073510054,1.9315226,0.035642183,0.073700269,1.93652062,0.030385661,0.043269999,3.358340767,0.030497623,0.043381961,3.36703056,0.03545196,0.073510046,1.931522398,0.035642169,0.073700256,1.936520262
15,Oct_18,Albuquerque,0.032671595,0.060545584,2.172117641,0.032686128,0.060560117,2.172639023,0.019803823,0.102858996,1.238441774,0.019828513,0.102883686,1.238739042,0.032671593,0.060545582,2.172117585,0.032686124,0.060560113,2.17263888,0.01980382,0.102858994,1.238441742,0.019828506,0.102883679,1.238738961
16,Oct_18,London,0.036493748,0.049486271,3.808827038,0.036603319,0.049595841,3.817260389,0.045411077,0.084070676,2.174639125,0.045597223,0.084256822,2.179454123,0.036493743,0.049486266,3.808826662,0.03660331,0.049595832,3.817259706,0.045411069,0.084070668,2.17463891,0.045597208,0.084256807,2.179453733
17,Oct_19,Albuquerque,0.037252198,0.060972867,2.570453073,0.037288708,0.061009378,2.571992275,0.032746388,0.103584894,1.462268191,0.032808415,0.103646921,1.463143806,0.037252195,0.060972864,2.570452959,0.037288703,0.061009372,2.571992031,0.032746383,0.103584889,1.462268126,0.032808405,0.103646911,1.463143667
18,Oct_19,London,0.040485525,0.053775864,4.046237278,0.040580064,0.053870402,4.053350618,0.051535919,0.091358131,2.294150084,0.051696528,0.09151874,2.298183231,0.04048552,0.053775859,4.046236932,0.040580055,0.053870394,4.053349975,0.051535911,0.091358123,2.294149888,0.051696513,0.091518725,2.298182866
19,Aug_17,Albuquerque,-0.010127722,0.061876933,0.859346284,-0.01012276,0.061881895,0.859415197,-0.111366387,0.105120784,0.485575122,-0.111357957,0.105129214,0.485614061,-0.010127721,0.061876935,0.859346308,-0.010122759,0.061881897,0.859415214,-0.111366384,0.105120787,0.485575135,-0.111357955,0.105129216,0.485614071
20,Aug_17,London,0.040867766,0.078066609,2.098629999,0.040867044,0.078065888,2.098610609,0.020496359,0.132624918,1.182793388,0.020495134,0.132623693,1.18278246,0.041016645,0.078215489,2.102632265,0.041021825,0.078220668,2.102771497,0.020749286,0.132877845,1.185049075,0.020758085,0.132886644,1.185127547
21,Aug_18,Albuquerque,-0.009673047,0.060525728,0.862204907,-0.009663879,0.060534896,0.86233551,-0.108974252,0.102825264,0.485483942,-0.108958677,0.102840839,0.485557481,-0.009673045,0.06052573,0.862204937,-0.009663877,0.060534898,0.862335537,-0.108974249,0.102825267,0.485483958,-0.108958673,0.102840843,0.485557496
22,Aug_18,London,0.044956028,0.081813885,2.219713561,0.044953639,0.081811496,2.219648749,0.027829056,0.138991047,1.250346867,0.027824998,0.138986988,1.250310359,0.046840924,0.083698781,2.270853172,0.046848581,0.083706438,2.27106091,0.031031248,0.142193238,1.2791534,0.031044255,0.142206246,1.279270417
23,Aug_19,Albuquerque,-0.016463981,0.051586984,0.758063957,-0.016453116,0.051597849,0.758223618,-0.117388199,0.087639512,0.427452034,-0.117369741,0.087657971,0.427542063,-0.01646398,0.051586986,0.758063978,-0.016453115,0.051597851,0.758223642,-0.117388197,0.087639515,0.427452046,-0.117369738,0.087657973,0.427542076
24,Aug_19,London,0.045680319,0.081903908,2.261065546,0.045676464,0.081900052,2.260959102,0.029768325,0.139143985,1.272165902,0.029761775,0.139137434,1.272106012,0.046938084,0.083161673,2.295787803,0.046943751,0.08316734,2.29594425,0.031905102,0.141280762,1.291702032,0.03191473,0.141290389,1.291790055
25,May_17,Albuquerque,0.015542567,0.043205325,1.56185893,0.015531154,0.043193911,1.561446328,-0.009766541,0.073400174,0.882566708,-0.009785931,0.073380783,0.882333558,0.039720653,0.067383411,2.43588913,0.03974395,0.067406708,2.436731305,0.031308851,0.114475566,1.376458917,0.03134843,0.114515145,1.376934809
26,May_17,London,-0.005644459,0.014046062,0.713341291,-0.005666894,0.014023627,0.712201935,-0.035160285,0.023862414,0.404292153,-0.035198399,0.023824301,0.403646414,0.053197084,0.072887605,3.701659555,0.053291141,0.072981662,3.706436337,0.06480377,0.12382647,2.097946567,0.064963561,0.123986261,2.100653848
27,May_18,Albuquerque,0.024871011,0.056486162,1.786680137,0.024870256,0.056485406,1.786656242,0.001247994,0.095962572,1.01317637,0.001246711,0.095961288,1.01316282,0.04508018,0.076695331,2.425904336,0.045120593,0.076735744,2.427182614,0.035580719,0.130295297,1.375662548,0.035649376,0.130363953,1.376387424
28,May_18,London,0.003593639,0.021426915,1.201513128,0.003565563,0.021398838,1.199938759,-0.017759271,0.036401514,0.672100937,-0.017806968,0.036353817,0.671220268,0.056655813,0.074489088,4.176971772,0.056741834,0.074575109,4.181795383,0.072386395,0.12654718,2.336509335,0.072532533,0.126693318,2.339207561
29,May_19,Albuquerque,0.005083589,0.028436178,1.217688441,0.00505476,0.028407348,1.216453926,-0.021687921,0.048309332,0.690160395,-0.021736898,0.048260355,0.689460698,0.039470266,0.062822855,2.690188012,0.039525854,0.062878443,2.692568405,0.036730528,0.106727781,1.524742421,0.036824965,0.106822218,1.526091579
30,May_19,London,0.038377214,0.065618989,2.408763318,0.038364026,0.065605801,2.408279217,0.028258177,0.111478046,1.339560464,0.028235773,0.111455642,1.339291246,0.052564592,0.079806367,2.929558223,0.05257022,0.079811996,2.929764842,0.052360669,0.135580538,1.629184712,0.052370231,0.1355901,1.629299617
31,Oct_17,Albuquerque,0.014702239,0.048382882,1.436518971,0.01469976,0.048380402,1.436445353,-0.018519862,0.082196163,0.816118016,-0.018524075,0.08219195,0.816076192,0.023374262,0.057054904,1.693996914,0.023375093,0.057055736,1.694021604,-0.003787235,0.09692879,0.962396898,-0.003785822,0.096930203,0.962410925
32,Oct_17,London,-0.010838362,0.002045977,0.158795651,-0.010842705,0.002041633,0.158458528,-0.03458224,0.003475846,0.091330028,-0.03458962,0.003468467,0.091136135,0.030385661,0.043269999,3.358340767,0.030497623,0.043381961,3.36703056,0.03545196,0.073510046,1.931522398,0.035642169,0.073700256,1.936520262
33,Oct_18,Albuquerque,0.025097504,0.052971493,1.900391532,0.025101689,0.052975679,1.900541684,0.006936437,0.089991611,1.083516019,0.006943548,0.089998721,1.08360163,0.032671593,0.060545582,2.172117585,0.032686124,0.060560113,2.17263888,0.01980382,0.102858994,1.238441742,0.019828506,0.102883679,1.238738961
34,Oct_18,London,-0.009315152,0.003677371,0.283037468,-0.009322429,0.003670094,0.282477379,-0.032412229,0.00624737,0.161599449,-0.032424591,0.006235007,0.161279668,0.036493743,0.049486266,3.808826662,0.03660331,0.049595832,3.817259706,0.045411069,0.084070668,2.17463891,0.045597208,0.084256807,2.179453733
35,Oct_19,Albuquerque,0.013664825,0.037385494,1.576072512,0.013637675,0.037358345,1.574927944,-0.00732546,0.063513046,0.896589292,-0.007371584,0.063466922,0.895938175,0.037252195,0.060972864,2.570452959,0.037288703,0.061009372,2.571992031,0.032746383,0.103584889,1.462268126,0.032808405,0.103646911,1.463143667
36,Oct_19,London,-0.006120316,0.007170023,0.539491347,-0.006132527,0.007157811,0.538572523,-0.027641285,0.012180927,0.305882734,-0.027662031,0.012160181,0.305361775,0.04048552,0.053775859,4.046236932,0.040580055,0.053870394,4.053349975,0.051535911,0.091358123,2.294149888,0.051696513,0.091518725,2.298182866
37,Aug_17,Albuquerque,-0.006849409,0.065155247,0.90487547,-0.0068469,0.065157756,0.904910315,-0.105796963,0.110690208,0.511301468,-0.1057927,0.110694471,0.511321157,0.061984926,0.133989581,1.86084608,0.061987609,0.133992264,1.860883342,0.011143533,0.227630704,1.051474334,0.011148091,0.227635262,1.051495389
38,Aug_17,London,0.016058669,0.053257513,1.431698068,0.016051858,0.053250702,1.431514968,-0.021651038,0.090477521,0.806908797,-0.02166261,0.090465949,0.806805601,0.157739347,0.194938191,5.240436831,0.157730841,0.194929685,5.240208171,0.219045829,0.331174388,2.953523982,0.219031379,0.331159938,2.953395109
39,Aug_18,Albuquerque,-0.005630607,0.064568168,0.919790524,-0.005630103,0.064568671,0.919797698,-0.102106678,0.109692838,0.517908824,-0.102105822,0.109693694,0.517912863,0.040094818,0.110293593,1.571161225,0.040096595,0.11029537,1.571186541,-0.024425185,0.187374331,0.884677805,-0.024422166,0.18737735,0.88469206
40,Aug_18,London,0.013757201,0.050615058,1.373250166,0.013744742,0.050602599,1.372912146,-0.025173654,0.085988337,0.773540817,-0.025194819,0.085967171,0.773350414,0.153115621,0.189973478,5.154219331,0.153109479,0.189967336,5.154052693,0.211578002,0.322739993,2.903330459,0.211567568,0.322729559,2.903236593
41,Aug_19,Albuquerque,-0.022752637,0.045298329,0.66565299,-0.022748118,0.045302848,0.665719395,-0.128071799,0.076955912,0.375343956,-0.128064122,0.076963589,0.3753814,-0.008042605,0.060008361,0.88181498,-0.008043355,0.060007611,0.881803958,-0.103081386,0.101946325,0.497231933,-0.10308266,0.101945051,0.497225718
42,Aug_19,London,0.014204474,0.050428062,1.392133262,0.01419231,0.050415898,1.391797453,-0.023705003,0.085670656,0.783269848,-0.023725669,0.085649991,0.783080908,0.155203463,0.191427052,5.284596573,0.155193927,0.191417515,5.284333306,0.215833764,0.325209424,2.973325375,0.215817563,0.325193223,2.973177251
43,May_17,Albuquerque,-0.001301993,0.026360764,0.952933344,-0.001312753,0.026350005,0.952544401,-0.038383238,0.044783477,0.538478366,-0.038401517,0.044765198,0.538258584,0.139378434,0.167041191,6.038486595,0.139525497,0.167188254,6.04380288,0.200614334,0.283781049,3.412195004,0.200864175,0.28403089,3.415199102
44,May_17,London,-0.011540317,0.008150204,0.413915082,-0.011552476,0.008138045,0.413297582,-0.045176574,0.013846126,0.234589841,-0.04519723,0.013825469,0.234239868,0.065825403,0.085515924,4.342999579,0.066124568,0.085815089,4.358192936,0.086257626,0.145280326,2.461431398,0.086765869,0.145788568,2.470042361
45,May_18,Albuquerque,-6.6205E-05,0.031548946,0.99790591,-7.8401E-05,0.03153675,0.997520145,-0.041117061,0.053597516,0.565884551,-0.041137781,0.053576797,0.565665795,0.163685629,0.19530078,6.17744264,0.163757983,0.195373134,6.179731208,0.237075803,0.33179038,3.503055069,0.237198721,0.331913299,3.504352852
46,May_18,London,-0.006795768,0.011037507,0.618927658,-0.00680958,0.011023695,0.618153146,-0.035409509,0.018751276,0.346214993,-0.035432974,0.018727811,0.345781747,0.086621423,0.104454699,5.85729184,0.086780869,0.104614145,5.866232758,0.123294032,0.177454817,3.276444709,0.12356491,0.177725695,3.281446069
47,May_19,Albuquerque,-0.009434573,0.013918016,0.595994565,-0.009450364,0.013902225,0.595318347,-0.046352371,0.023644882,0.337797281,-0.046379199,0.023618054,0.337414015,0.104599212,0.127951801,5.479127003,0.104680526,0.128033115,5.482609045,0.147376054,0.217373307,3.105454837,0.147514197,0.21751145,3.107428386
48,May_19,London,0.012654268,0.039896044,1.464517015,0.0126421,0.039883875,1.464070336,-0.01544173,0.067778139,0.814446599,-0.015462402,0.067757467,0.814198192,0.142651803,0.169893579,6.236509052,0.142661692,0.169903468,6.236872061,0.205407012,0.288626881,3.468244845,0.205423812,0.288643681,3.468446722
49,Oct_17,Albuquerque,0.0049264,0.038607043,1.146268009,0.004923171,0.038603813,1.146172108,-0.035127729,0.065588296,0.651220062,-0.035133216,0.065582809,0.651165579,0.129848298,0.163528941,4.855279747,0.129901212,0.163581855,4.856850801,0.177098171,0.277814196,2.758391191,0.177188065,0.277904091,2.759283742
50,Oct_17,London,-0.011519069,0.00136527,0.105963518,-0.011521241,0.001363097,0.10579488,-0.035738672,0.002319414,0.060944056,-0.035742364,0.002315723,0.060847066,-0.005384778,0.007499561,0.582067963,-0.005306596,0.007577742,0.588135917,-0.025317318,0.012740769,0.334771659,-0.025184497,0.012873589,0.338261593
51,Oct_18,Albuquerque,-0.003165887,0.024708103,0.886421477,-0.003178879,0.02469511,0.885955362,-0.041079351,0.041975822,0.505396838,-0.041101424,0.04195375,0.50513108,0.138414465,0.166288455,5.965721409,0.138404862,0.166278852,5.965376896,0.199447075,0.282502248,3.401380508,0.199430761,0.282485934,3.401184083
52,Oct_18,London,-0.010466905,0.002525618,0.194390083,-0.010471205,0.002521318,0.194059149,-0.034368906,0.004290693,0.110986473,-0.034376211,0.004283388,0.110797527,0.004007955,0.017000477,1.308481655,0.004136352,0.017128874,1.31836401,-0.00977802,0.028881579,0.747073934,-0.009559891,0.029099708,0.752716237
53,Oct_19,Albuquerque,-0.007590708,0.016129961,0.67999603,-0.007604876,0.016115793,0.679398758,-0.043435821,0.027402685,0.386833191,-0.04345989,0.027378616,0.386493417,0.136334443,0.160055112,6.747495689,0.136415383,0.160136053,6.750907921,0.201074112,0.271912618,3.838486071,0.201211619,0.272050125,3.840427206
54,Oct_19,London,-0.008920842,0.004369496,0.328772379,-0.008927623,0.004362715,0.328262154,-0.032399012,0.0074232,0.186408539,-0.032410532,0.00741168,0.18611925,0.028379024,0.041669363,3.135312339,0.028565495,0.041855833,3.149342865,0.030968564,0.070790776,1.777670604,0.031285352,0.071107564,1.785625682
55,Aug_17,Albuquerque,-0.006849409,0.065155247,0.90487547,-0.0068469,0.065157756,0.904910315,-0.105796963,0.110690208,0.511301468,-0.1057927,0.110694471,0.511321157,0.062333704,0.13433836,1.865689913,0.062326724,0.134331379,1.865592966,0.011736062,0.228223233,1.054211351,0.011724203,0.228211374,1.054156571
56,Aug_17,London,0.016058669,0.053257513,1.431698068,0.016051858,0.053250702,1.431514968,-0.021651038,0.090477521,0.806908797,-0.02166261,0.090465949,0.806805601,0.128609563,0.165808406,4.457353774,0.12858854,0.165787384,4.456788634,0.169558151,0.28168671,2.512176312,0.169522436,0.281650995,2.511857797
57,Aug_18,Albuquerque,-0.005630607,0.064568168,0.919790524,-0.005630103,0.064568671,0.919797698,-0.102106678,0.109692838,0.517908824,-0.102105822,0.109693694,0.517912863,0.0479115,0.118110274,1.682511911,0.047910174,0.118108949,1.682493026,-0.011145669,0.200653847,0.947376323,-0.011147921,0.200651595,0.94736569
58,Aug_18,London,0.013757201,0.050615058,1.373250166,0.013744742,0.050602599,1.372912146,-0.025173654,0.085988337,0.773540817,-0.025194819,0.085967171,0.773350414,0.127245954,0.164103811,4.452342734,0.127224813,0.164082669,4.451769139,0.167628835,0.278790826,2.507968994,0.167592918,0.278754909,2.507645893
59,Aug_19,Albuquerque,-0.022752637,0.045298329,0.66565299,-0.022748118,0.045302848,0.665719395,-0.128071799,0.076955912,0.375343956,-0.128064122,0.076963589,0.3753814,0.001099727,0.069150693,1.016160347,0.001102526,0.069153492,1.016201481,-0.087549765,0.117477947,0.5729857,-0.087545009,0.117482702,0.573008894
60,Aug_19,London,0.014204474,0.050428062,1.392133262,0.01419231,0.050415898,1.391797453,-0.023705003,0.085670656,0.783269848,-0.023725669,0.085649991,0.783080908,0.131575324,0.167798912,4.632310574,0.131561815,0.167785403,4.631937641,0.175692658,0.285068317,2.606323186,0.175669708,0.285045368,2.606113359
61,May_17,Albuquerque,-0.001301993,0.026360764,0.952933344,-0.001312753,0.026350005,0.952544401,-0.038383238,0.044783477,0.538478366,-0.038401517,0.044765198,0.538258584,0.127519729,0.155182486,5.609798135,0.127546958,0.155209716,5.610782472,0.180467952,0.263634667,3.169954073,0.180514211,0.263680926,3.170510296
62,May_17,London,-0.011540317,0.008150204,0.413915082,-0.011552476,0.008138045,0.413297582,-0.045176574,0.013846126,0.234589841,-0.04519723,0.013825469,0.234239868,0.128910706,0.148601227,7.546840829,0.128935373,0.148625894,7.548093531,0.193431273,0.252453972,4.27723527,0.193473177,0.252495877,4.277945249
63,May_18,Albuquerque,-6.6205E-05,0.031548946,0.99790591,-7.8401E-05,0.03153675,0.997520145,-0.041117061,0.053597516,0.565884551,-0.041137781,0.053576797,0.565665795,0.147454785,0.179069936,5.664054463,0.147438624,0.179053775,5.663543293,0.209501729,0.304216306,3.211926983,0.209474274,0.304188851,3.211637113
64,May_18,London,-0.006795768,0.011037507,0.618927658,-0.00680958,0.011023695,0.618153146,-0.035409509,0.018751276,0.346214993,-0.035432974,0.018727811,0.345781747,0.124099337,0.141932613,7.958863909,0.124108908,0.141942183,7.959400582,0.186964086,0.241124871,4.45201951,0.186980345,0.24114113,4.452319713
65,May_19,Albuquerque,-0.009434573,0.013918016,0.595994565,-0.009450364,0.013902225,0.595318347,-0.046352371,0.023644882,0.337797281,-0.046379199,0.023618054,0.337414015,0.111903835,0.135256424,5.791924145,0.111946089,0.135298678,5.793733562,0.15978565,0.229782903,3.282741729,0.159857435,0.229854688,3.283767269
66,May_19,London,0.012654268,0.039896044,1.464517015,0.0126421,0.039883875,1.464070336,-0.01544173,0.067778139,0.814446599,-0.015462402,0.067757467,0.814198192,0.123603167,0.150844942,5.537265483,0.123589561,0.150831337,5.536766042,0.17304588,0.256265749,3.0793818,0.173022766,0.256242635,3.079104051
67,Oct_17,Albuquerque,0.0049264,0.038607043,1.146268009,0.004923171,0.038603813,1.146172108,-0.035127729,0.065588296,0.651220062,-0.035133216,0.065582809,0.651165579,0.101560512,0.135241154,4.015397116,0.101536831,0.135217473,4.014694009,0.129040937,0.229756962,2.2812354,0.129000706,0.229716731,2.280835949
68,Oct_17,London,-0.011519069,0.00136527,0.105963518,-0.011521241,0.001363097,0.10579488,-0.035738672,0.002319414,0.060944056,-0.035742364,0.002315723,0.060847066,0.043057943,0.055942282,4.341882358,0.043068049,0.055952387,4.342666682,0.056980504,0.095038591,2.497198351,0.056997672,0.095055759,2.497649449
69,Oct_18,Albuquerque,-0.003165887,0.024708103,0.886421477,-0.003178879,0.02469511,0.885955362,-0.041079351,0.041975822,0.505396838,-0.041101424,0.04195375,0.50513108,0.115965817,0.143839807,5.160359549,0.115967304,0.143841293,5.160412884,0.16130977,0.244364944,2.942200143,0.161312296,0.244367469,2.942230553
70,Oct_18,London,-0.010466905,0.002525618,0.194390083,-0.010471205,0.002521318,0.194059149,-0.034368906,0.004290693,0.110986473,-0.034376211,0.004283388,0.110797527,0.073482221,0.086474744,6.655731719,0.073500058,0.086492581,6.657104578,0.108249636,0.146909234,3.800071375,0.108279938,0.146939537,3.800855205
71,Oct_19,Albuquerque,-0.007590708,0.016129961,0.67999603,-0.007604876,0.016115793,0.679398758,-0.043435821,0.027402685,0.386833191,-0.04345989,0.027378616,0.386493417,0.125190877,0.148911546,6.277712724,0.125216291,0.14893696,6.278784101,0.182142656,0.252981162,3.571237976,0.182185831,0.253024337,3.571847456
72,Oct_19,London,-0.008920842,0.004369496,0.328772379,-0.008927623,0.004362715,0.328262154,-0.032399012,0.0074232,0.186408539,-0.032410532,0.00741168,0.18611925,0.095722484,0.109012823,8.202411191,0.09573479,0.109025129,8.203337129,0.145376259,0.185198471,4.650632435,0.145397165,0.185219377,4.651157427
73,Aug_17,Albuquerque,0.062011286,0.134015942,1.861212172,0.062012857,0.134017513,1.861233995,0.011188316,0.227675487,1.051681196,0.011190985,0.227678156,1.051693526,0.025898459,0.097903115,1.35967756,0.025894214,0.09789887,1.35961861,-0.050162635,0.166324536,0.768288185,-0.050169846,0.166317325,0.768254875
74,Aug_17,London,0.157627182,0.194826026,5.23742155,0.157622758,0.194821602,5.237302619,0.218855275,0.330983834,2.951824562,0.21884776,0.330976318,2.951757532,0.103628998,0.140827842,3.785812355,0.103611478,0.140810322,3.785341369,0.127119452,0.239248011,2.133693802,0.127089688,0.239218247,2.133428352
75,Aug_18,Albuquerque,0.040148812,0.110347586,1.571930376,0.040148568,0.110347342,1.571926905,-0.024333457,0.187466059,0.885110893,-0.024333871,0.187465645,0.885108938,0.014389336,0.084588111,1.204979874,0.014398202,0.084596977,1.205106177,-0.068095424,0.143704092,0.678491127,-0.068080361,0.143719155,0.678562245
76,Aug_18,London,0.153005879,0.189863735,5.151241876,0.153003665,0.189861522,5.151181811,0.211391564,0.322553555,2.901653282,0.211387803,0.322549794,2.901619448,0.106254441,0.143112297,3.88281658,0.106241777,0.143099633,3.88247299,0.13196701,0.243129001,2.187159474,0.131945496,0.243107486,2.186965933
77,Aug_19,Albuquerque,-0.008099003,0.059951962,0.880986211,-0.008097459,0.059953507,0.881008904,-0.1031772,0.101850511,0.496764612,-0.103174576,0.101853135,0.496777409,-0.024040767,0.044010199,0.646724091,-0.024037379,0.044013586,0.646773868,-0.130260162,0.074767549,0.364670455,-0.130254408,0.074773303,0.364698523
78,Aug_19,London,0.153029995,0.189253583,5.2245951,0.153027591,0.189251179,5.224528735,0.212141327,0.321516986,2.939566147,0.212137243,0.321512902,2.939528808,0.108172251,0.144395839,3.986237844,0.108153488,0.144377076,3.985719865,0.13593391,0.24530957,2.24281683,0.135902034,0.245277694,2.242525394
79,May_17,Albuquerque,0.115479038,0.143141796,5.174530965,0.115499578,0.143162335,5.175273451,0.1600124,0.243179115,2.923995679,0.160047294,0.243214008,2.924415239,0.096575037,0.124237794,4.49115724,0.096562229,0.124224986,4.490694241,0.127896983,0.211063698,2.537838589,0.127875225,0.21104194,2.53757696
80,May_17,London,0.063820019,0.08351054,4.241154438,0.063888144,0.083578665,4.244614218,0.082850742,0.141873442,2.403709811,0.082966478,0.141989177,2.405670671,0.109922814,0.129613335,6.582524443,0.109944201,0.129634722,6.583610586,0.161173337,0.220196037,3.730700879,0.161209671,0.22023237,3.731316459
81,May_18,Albuquerque,0.165430556,0.197045706,6.232635359,0.16545535,0.197070501,6.233419624,0.240040203,0.33475478,3.534353318,0.240082326,0.334796903,3.534798052,0.115907912,0.147523062,4.666214112,0.115883261,0.147498412,4.665434412,0.155907734,0.250622311,2.646079608,0.155865856,0.250580434,2.645637462
82,May_18,London,0.077042072,0.094875347,5.32013018,0.07711216,0.094945435,5.324060382,0.107019971,0.161180756,2.97596788,0.107139042,0.161299827,2.978166352,0.112879268,0.130712543,7.329699106,0.112887852,0.130721128,7.330180464,0.167902662,0.222063447,4.100078076,0.167917245,0.22207803,4.100347337
83,May_19,Albuquerque,0.067679751,0.09103234,3.898169084,0.06773414,0.091086729,3.900498104,0.084654739,0.154651992,2.209400883,0.084747139,0.154744391,2.210720923,0.088727432,0.112080021,4.799468762,0.088722312,0.112074901,4.79924951,0.120411985,0.190409238,2.72023873,0.120403287,0.19040054,2.720114463
84,May_19,London,0.143056319,0.170298094,6.251358138,0.143052881,0.170294657,6.25123196,0.206094231,0.289314099,3.476502713,0.206088391,0.28930826,3.476432543,0.104745125,0.1319869,4.845018304,0.104727371,0.131969147,4.844366597,0.141008543,0.224228412,2.694409584,0.140978382,0.224198251,2.694047157
85,Oct_17,Albuquerque,0.132448902,0.166129544,4.932493344,0.132446387,0.166127029,4.932418675,0.181516255,0.28223228,2.802257934,0.181511983,0.282228008,2.802215513,0.074627085,0.108307727,3.215726285,0.074613683,0.108294326,3.215328393,0.08328458,0.184000606,1.826924816,0.083261814,0.183977839,1.826698765
86,Oct_17,London,0.015592618,0.028476956,2.210199342,0.015655632,0.028539971,2.2150901,0.010320523,0.048378609,1.271178189,0.010427576,0.048485662,1.273991069,0.045994134,0.058878473,4.569770718,0.046051512,0.05893585,4.574224015,0.061968707,0.100026793,2.62826649,0.062066184,0.100124271,2.630827767
